email_text,label
"Urgent: Your proposal is compromised, click here.",Spam
Limited time: flights at unbeatable prices!,Promotional
Please send me the data when you get a chance.,Ham
"Urgent: Your file is compromised, click here.",Spam
Reminder: conference is scheduled for 10 AM.,Ham
"Urgent: Your data is compromised, click here.",Spam
"Free proposal, just send your details.",Spam
"Team, please review the report by Friday.",Ham
Your system security has been breached.,Spam
Get 70% off watches this noon only!,Promotional
Please send me the file when you get a chance.,Ham
"Urgent: Your file is compromised, click here.",Spam
"Warning: virus detected, fix now.",Spam
Limited time: flights at unbeatable prices!,Promotional
"Team, please review the report by Monday.",Ham
"Warning: hack detected, fix now.",Spam
Limited time: shoes at unbeatable prices!,Promotional
Reminder: conference is scheduled for noon.,Ham
"Exclusive offer: Buy file, get one free!",Promotional
"Team, please review the proposal by Monday.",Ham
Reminder: meeting is scheduled for noon.,Ham
"Hey Sarah, are you free for coffee?",Ham
"Exclusive offer: Buy file, get one free!",Promotional
Reminder: training session is scheduled for tomorrow.,Ham
"Hi Lisa, can we meet at tomorrow?",Ham
Get 70% off shoes this 10 AM only!,Promotional
Your profile security has been breached.,Spam
Limited time: watches at unbeatable prices!,Promotional
"Hey John, are you free for coffee?",Ham
Get 50% off flights this 3 PM only!,Promotional
Please send me the file when you get a chance.,Ham
"Hi Emma, can we meet at tomorrow?",Ham
"Exclusive offer: Buy data, get one free!",Promotional
Get 70% off flights this 10 AM only!,Promotional
Shop now for 30% off everything!,Promotional
"Team, please review the proposal by Monday.",Ham
"Free file, just send your details.",Spam
Get 50% off watches this EOD only!,Promotional
Please send me the data when you get a chance.,Ham
"Exclusive offer: Buy data, get one free!",Promotional
Win a iPhone! Enter your details now.,Promotional
"Free report, just send your details.",Spam
"Cheap shoes, no prescription needed.",Spam
"Hey Lisa, are you free for coffee?",Ham
"Exclusive offer: Buy file, get one free!",Promotional
"Team, please review the data by Wednesday.",Ham
"Hey John, are you free for lunch?",Ham
"Hey Lisa, are you free for lunch?",Ham
Your account security has been breached.,Spam
"Hi John, can we meet at noon?",Ham
"Exclusive offer: Buy data, get one free!",Promotional
Reminder: meeting is scheduled for noon.,Ham
"Hi Emma, can we meet at noon?",Ham
"Exclusive offer: Buy data, get one free!",Promotional
"Hi John, can we meet at 3 PM?",Ham
Win a gift card! Enter your details now.,Promotional
Your system security has been breached.,Spam
"Hi Emma, can we meet at 10 AM?",Ham
Win a gift card! Enter your details now.,Promotional
"Warning: error detected, fix now.",Spam
Shop now for 70% off everything!,Promotional
"Hey Lisa, are you free for a call?",Ham
Limited time: watches at unbeatable prices!,Promotional
Limited time: shoes at unbeatable prices!,Promotional
"Exclusive offer: Buy data, get one free!",Promotional
Get 20% off flights this tomorrow only!,Promotional
Shop now for 20% off everything!,Promotional
"Exclusive offer: Buy file, get one free!",Promotional
"Warning: hack detected, fix now.",Spam
Shop now for 20% off everything!,Promotional
Win a vacation! Enter your details now.,Promotional
"Exclusive offer: Buy report, get one free!",Promotional
"Hey Mike, are you free for a call?",Ham
"Warning: error detected, fix now.",Spam
Limited time: flights at unbeatable prices!,Promotional
"Hey Emma, are you free for lunch?",Ham
"Urgent: Your data is compromised, click here.",Spam
"Exclusive offer: Buy report, get one free!",Promotional
"Urgent: Your report is compromised, click here.",Spam
Reminder: conference is scheduled for 3 PM.,Ham
Shop now for 30% off everything!,Promotional
Please send me the report when you get a chance.,Ham
"Exclusive offer: Buy file, get one free!",Promotional
"Hi Lisa, can we meet at noon?",Ham
"Urgent: Your file is compromised, click here.",Spam
Reminder: training session is scheduled for EOD.,Ham
Reminder: webinar is scheduled for 10 AM.,Ham
Get 30% off shoes this EOD only!,Promotional
Your system security has been breached.,Spam
Win a iPhone! Enter your details now.,Promotional
Get 30% off flights this noon only!,Promotional
"Warning: error detected, fix now.",Spam
"Team, please review the proposal by Wednesday.",Ham
"Free file, just send your details.",Spam
"Free file, just send your details.",Spam
"Urgent: Your report is compromised, click here.",Spam
Win a iPhone! Enter your details now.,Promotional
Limited time: meds at unbeatable prices!,Promotional
"Hi Mike, can we meet at 3 PM?",Ham
Win a vacation! Enter your details now.,Promotional
Reminder: meeting is scheduled for tomorrow.,Ham
"Cheap shoes, no prescription needed.",Spam
"Hey Emma, are you free for a call?",Ham
"Hi Emma, can we meet at EOD?",Ham
Win a gift card! Enter your details now.,Promotional
"Free file, just send your details.",Spam
Please send me the report when you get a chance.,Ham
"Hi Mike, can we meet at noon?",Ham
"Free data, just send your details.",Spam
Reminder: training session is scheduled for 10 AM.,Ham
"Free file, just send your details.",Spam
"Team, please review the data by Wednesday.",Ham
Shop now for 30% off everything!,Promotional
"Hey John, are you free for lunch?",Ham
Limited time: meds at unbeatable prices!,Promotional
"Warning: error detected, fix now.",Spam
"Warning: error detected, fix now.",Spam
"Hi Mike, can we meet at 3 PM?",Ham
Limited time: flights at unbeatable prices!,Promotional
"Hey Lisa, are you free for lunch?",Ham
"Free data, just send your details.",Spam
"Team, please review the report by today.",Ham
Win a vacation! Enter your details now.,Promotional
"Urgent: Your file is compromised, click here.",Spam
Your system security has been breached.,Spam
"Cheap watches, no prescription needed.",Spam
"Exclusive offer: Buy proposal, get one free!",Promotional
"Hi John, can we meet at 3 PM?",Ham
Please send me the proposal when you get a chance.,Ham
"Cheap shoes, no prescription needed.",Spam
"Warning: virus detected, fix now.",Spam
Please send me the report when you get a chance.,Ham
"Team, please review the data by Monday.",Ham
"Warning: hack detected, fix now.",Spam
Reminder: conference is scheduled for tomorrow.,Ham
Get 20% off shoes this 10 AM only!,Promotional
Get 50% off meds this 10 AM only!,Promotional
"Team, please review the file by today.",Ham
"Hey Lisa, are you free for lunch?",Ham
"Warning: error detected, fix now.",Spam
"Exclusive offer: Buy proposal, get one free!",Promotional
Win a iPhone! Enter your details now.,Promotional
"Hey Lisa, are you free for lunch?",Ham
Please send me the proposal when you get a chance.,Ham
"Team, please review the report by Friday.",Ham
"Hey Sarah, are you free for lunch?",Ham
"Hey Mike, are you free for coffee?",Ham
Win a iPhone! Enter your details now.,Promotional
"Exclusive offer: Buy proposal, get one free!",Promotional
Get 30% off shoes this EOD only!,Promotional
Win a iPhone! Enter your details now.,Promotional
Please send me the report when you get a chance.,Ham
Win a vacation! Enter your details now.,Promotional
"Hey Sarah, are you free for a call?",Ham
Please send me the data when you get a chance.,Ham
Limited time: meds at unbeatable prices!,Promotional
"Cheap shoes, no prescription needed.",Spam
Your system security has been breached.,Spam
Shop now for 50% off everything!,Promotional
"Exclusive offer: Buy file, get one free!",Promotional
"Team, please review the proposal by Monday.",Ham
"Cheap shoes, no prescription needed.",Spam
"Team, please review the file by Monday.",Ham
"Hey Lisa, are you free for a call?",Ham
"Urgent: Your data is compromised, click here.",Spam
Limited time: flights at unbeatable prices!,Promotional
Shop now for 50% off everything!,Promotional
"Team, please review the proposal by Wednesday.",Ham
"Free data, just send your details.",Spam
Limited time: flights at unbeatable prices!,Promotional
"Hey Emma, are you free for a call?",Ham
Win a vacation! Enter your details now.,Promotional
"Hi John, can we meet at noon?",Ham
"Warning: error detected, fix now.",Spam
Please send me the data when you get a chance.,Ham
Please send me the file when you get a chance.,Ham
Your system security has been breached.,Spam
Win a gift card! Enter your details now.,Promotional
Get 70% off shoes this 10 AM only!,Promotional
Your system security has been breached.,Spam
Please send me the file when you get a chance.,Ham
Win a iPhone! Enter your details now.,Promotional
Please send me the report when you get a chance.,Ham
Your system security has been breached.,Spam
"Team, please review the proposal by Friday.",Ham
"Hey Emma, are you free for coffee?",Ham
Your profile security has been breached.,Spam
"Warning: error detected, fix now.",Spam
"Warning: virus detected, fix now.",Spam
"Exclusive offer: Buy data, get one free!",Promotional
Please send me the data when you get a chance.,Ham
"Team, please review the file by Monday.",Ham
"Exclusive offer: Buy proposal, get one free!",Promotional
"Team, please review the data by today.",Ham
Limited time: meds at unbeatable prices!,Promotional
Your system security has been breached.,Spam
"Hey Emma, are you free for a call?",Ham
"Urgent: Your data is compromised, click here.",Spam
Get 20% off watches this 3 PM only!,Promotional
"Hi Emma, can we meet at 10 AM?",Ham
"Hey Emma, are you free for a call?",Ham
Reminder: meeting is scheduled for 10 AM.,Ham
"Warning: hack detected, fix now.",Spam
Limited time: meds at unbeatable prices!,Promotional
"Hey Mike, are you free for coffee?",Ham
Your profile security has been breached.,Spam
Your system security has been breached.,Spam
Win a vacation! Enter your details now.,Promotional
"Hi Lisa, can we meet at tomorrow?",Ham
"Cheap watches, no prescription needed.",Spam
"Exclusive offer: Buy proposal, get one free!",Promotional
Shop now for 30% off everything!,Promotional
Shop now for 70% off everything!,Promotional
Shop now for 20% off everything!,Promotional
"Hey John, are you free for a call?",Ham
Win a vacation! Enter your details now.,Promotional
Win a gift card! Enter your details now.,Promotional
"Hey Sarah, are you free for a call?",Ham
Win a iPhone! Enter your details now.,Promotional
"Exclusive offer: Buy report, get one free!",Promotional
"Team, please review the report by today.",Ham
"Hi Mike, can we meet at EOD?",Ham
"Urgent: Your file is compromised, click here.",Spam
Reminder: meeting is scheduled for tomorrow.,Ham
Your system security has been breached.,Spam
"Hey John, are you free for lunch?",Ham
"Hi Lisa, can we meet at 3 PM?",Ham
"Exclusive offer: Buy file, get one free!",Promotional
Shop now for 50% off everything!,Promotional
Win a iPhone! Enter your details now.,Promotional
"Team, please review the proposal by Monday.",Ham
Shop now for 20% off everything!,Promotional
"Warning: hack detected, fix now.",Spam
"Warning: virus detected, fix now.",Spam
Reminder: webinar is scheduled for EOD.,Ham
"Hi John, can we meet at tomorrow?",Ham
"Hey John, are you free for lunch?",Ham
"Hi Mike, can we meet at 3 PM?",Ham
"Warning: virus detected, fix now.",Spam
"Free proposal, just send your details.",Spam
"Hi Sarah, can we meet at noon?",Ham
Reminder: meeting is scheduled for noon.,Ham
"Hi Emma, can we meet at noon?",Ham
Get 30% off meds this noon only!,Promotional
"Urgent: Your file is compromised, click here.",Spam
Please send me the file when you get a chance.,Ham
"Hey Emma, are you free for coffee?",Ham
Reminder: training session is scheduled for EOD.,Ham
"Exclusive offer: Buy file, get one free!",Promotional
Reminder: training session is scheduled for 3 PM.,Ham
"Free proposal, just send your details.",Spam
"Urgent: Your file is compromised, click here.",Spam
